85003,3740,500,230
85004,2660,320,180
85006,9940,350,60
85007,5310,360,190
85008,23850,690,120
85009,16450,150,50
85012,3690,520,420
85013,9930,1010,490
85014,12110,1010,370
85015,16290,620,60
85016,17600,2010,1210
85017,14890,140,0
85018,17340,2520,2350
85019,10630,170,0
85020,15970,1820,920
85021,16390,1410,790
85022,23260,2690,810
85023,15520,1480,490
85024,12190,1960,400
85027,17840,1440,130
85028,10120,2120,1030
85029,19690,940,150
85031,11860,80,0
85032,31360,3100,590
85033,21880,210,0
85034,1990,70,20
85035,20060,130,0
85037,20190,660,40
85040,11670,240,40
85041,23890,1020,140
85042,17880,1280,310
85043,12700,390,20
85044,20170,3300,1120
85045,3200,930,550
85048,16150,3620,1880
85050,13660,2860,1480
85051,18020,610,60
85053,13490,920,100
85054,3100,620,300
85083,7960,2240,800
85085,10070,2320,830
85086,16770,3860,1220
85087,3790,810,200
85118,5090,1000,280
85119,7980,760,130
85120,10410,450,30
85122,19490,1580,190
85128,5180,240,30
85131,3900,230,30
85132,6890,590,70
85137,810,60,0
85138,13890,1670,160
85139,6900,630,60
85140,13150,1560,180
85142,23060,4330,1030
85143,13480,1190,90
85145,790,90,0
85172,800,40,0
85173,980,70,0
85192,480,30,0
85193,1220,80,0
85194,2300,320,70
85201,20370,770,130
85202,18790,1400,230
85203,15070,1410,340
85204,25580,1160,150
85205,17420,1870,530
85206,15050,1420,200
85207,19310,3360,1330
85208,14160,930,70
85209,16650,2300,350
85210,16280,790,100
85212,12820,2730,350
85213,13930,2160,800
85215,7370,1270,400
85224,22650,2820,650
85225,31940,3210,510
85226,18820,3380,1060
85233,17600,3200,750
85234,21810,4040,1230
85248,16020,3520,1600
85249,17670,4730,2260
85250,9170,1430,560
85251,20180,2280,1350
85253,7920,1140,3020
85254,22810,5070,2690
85255,19610,4410,5250
85256,2170,150,0
85257,14990,1530,260
85258,12250,2590,1840
85259,10650,2070,2310
85260,18900,3540,2170
85262,5200,1270,1580
85263,900,290,160
85264,670,70,20
85266,4820,1220,1270
85268,10800,2150,1160
85281,21490,940,270
85282,24840,2240,400
85283,21950,2280,530
85284,9460,2360,1550
