75206,250090,251682,274465,298399,336056,365913,390981
75207,126543,137565,173272,177615,191392,233485,272846
75208,70522,79171,96502,118933,152360,199277,241649
75209,367239,372632,406203,435535,480942,527635,563951
75211,66930,64739,68755,74013,89710,110475,127996
75214,331507,339237,369891,402935,439180,471353,495177
75215,34982,41431,48231,50876,50037,54756,61140
75216,46034,46009,48458,50198,54325,59645,70978
75217,51364,50519,52887,56437,68011,86136,102595
75218,202839,206244,220888,243099,288565,317095,342091
75219,195174,197652,212048,224889,247008,269067,288646
75220,165163,167779,178744,190937,217495,244125,268944
75223,72047,69296,71057,77950,98607,128012,162043
75224,56110,56243,58355,63438,77413,98080,124595
75225,768421,796503,876842,957841,1044258,1111585,1158520
75226,75170,80353,91550,106397,129362,152774,183731
75227,61522,59245,64146,68919,83042,108271,125553
75228,85982,86386,90950,97230,114948,142378,160984
75229,278573,278485,301178,326261,362971,395972,421003
75230,384571,391039,426071,466091,510794,544893,579839
75231,85538,84831,92640,100773,113145,126932,143658
75232,61064,60014,64281,69898,84326,102955,127054
75233,77590,77849,84397,92849,110345,135272,164100
75234,117486,118108,125207,131613,151878,182454,202266
75235,63884,62317,65788,80142,103902,126085,142633
75236,95131,95847,100562,112143,124256,135590,153513
75237,92216,89998,97422,109521,122531,136851,154719
75238,234943,237957,259288,282411,331706,360347,378725
75240,157906,159912,171003,184546,201854,221179,245161
75241,58562,56687,59753,64334,74068,87442,106694
75243,108290,109759,117181,124548,137262,153531,173607
75244,277506,284963,312767,340486,378358,409885,436041
75246,81992,89446,102072,120915,151691,181033,210589
75247,45569,53208,61293,73418,81788,93878,112674
75248,246649,254017,274736,303357,334388,365549,391263
75249,116329,115298,120319,130955,141886,154421,171816
75252,273618,280070,296148,322155,354910,379586,399632
75253,83866,82582,84348,91466,101879,122944,140560
75254,127952,125751,133800,141561,153915,166806,185972
75287,212928,216794,230673,249479,272378,296654,318879
75401,34587,35119,37511,40488,42563,44974,50009
75402,109141,110711,117297,124726,131389,141290,156993
75407,126222,131769,144784,160348,176119,194890,213558
75409,134308,141368,153946,168625,185269,203418,220821
75410,112571,115050,120189,130787,139263,147797,161178
75411,79716,82829,87629,93270,97189,101111,112776
75412,59671,59091,61114,64809,68546,73948,81679
75413,55417,56812,60060,62548,64279,65324,68154
75414,101416,101831,106983,112789,120961,136560,161540
75415,81899,78727,81494,84999,87737,91744,98768
