75792, NaN
75801, 16.28 %
75803, 58.73 %
75831, 73.91 %
75833, 8.11 %
75835, -4.11 %
75838, NaN
75839, Infinity
75840, 26.98 %
75844, 108.33 %
75845, NaN
75846, Infinity
75847, NaN
75850, NaN
75851, Infinity
75852, NaN
75853, NaN
75855, NaN
75856, NaN
75859, 51.52 %
75860, 25.00 %
75861, NaN
75862, 35.14 %
75901, 28.32 %
75904, 29.03 %
75925, Infinity
75926, NaN
75928, NaN
75929, NaN
75930, NaN
75931, Infinity
75932, NaN
75933, NaN
75935, -18.70 %
75936, NaN
75937, NaN
75938, NaN
75939, NaN
75941, 3.45 %
75943, NaN
75944, NaN
75946, Infinity
75948, 55.56 %
75949, 100.00 %
75951, 30.00 %
75954, -100.00 %
75956, Infinity
75959, NaN
75960, NaN
75961, 20.48 %
75964, 47.54 %
75965, 40.85 %
75966, NaN
75968, NaN
75969, Infinity
75972, -28.57 %
75973, -100.00 %
75974, NaN
75975, Infinity
75977, NaN
75979, -20.00 %
75980, NaN
76001, 65.71 %
76002, 90.48 %
76006, 21.21 %
76008, 90.66 %
76009, 44.74 %
76010, 21.21 %
76011, 40.50 %
76012, 28.91 %
76013, 49.46 %
76014, 78.57 %
76015, 31.31 %
76016, 34.97 %
76017, 40.32 %
76018, 69.81 %
76020, 98.47 %
76021, 50.21 %
76022, 33.33 %
76023, 112.12 %
76028, 87.68 %
76031, 57.14 %
76033, 44.10 %
76034, 48.58 %
76035, 78.57 %
76036, 70.45 %
76039, 125.09 %
76040, 111.11 %
76041, NaN
76043, 91.78 %
76044, 156.41 %
76048, 56.46 %
76049, 64.77 %
76050, 100.00 %
76051, 80.41 %
76052, 120.86 %
76053, 57.89 %
76054, 41.48 %
76055, NaN
76058, 105.88 %
76059, Infinity
76060, 95.31 %
76061, NaN
76063, 67.92 %
76064, Infinity
76065, 150.60 %
76066, 141.38 %
76067, 42.86 %
76070, Infinity
76071, 100.00 %
76073, 143.24 %
76077, NaN
76078, 129.51 %
76082, 102.25 %
76084, Infinity
76085, 104.30 %
76086, 39.07 %
76087, 78.95 %
76088, 107.41 %
76092, 40.74 %
76093, Infinity
76102, 36.36 %
76103, 61.29 %
76104, 100.00 %
76105, NaN
76106, Infinity
76107, 55.14 %
76108, 69.62 %
76109, 46.81 %
76110, 74.34 %
76111, 100.00 %
76112, 35.29 %
76114, 115.19 %
76115, NaN
76116, 52.97 %
76117, 90.48 %
76118, 175.86 %
76119, 50.00 %
76120, 47.73 %
76123, 40.50 %
76126, 103.77 %
76127, NaN
76131, 295.60 %
76132, 19.05 %
76133, 41.51 %
76134, 76.47 %
76135, 89.19 %
76137, 59.24 %
76140, 72.84 %
76148, 95.12 %
76155, Infinity
76164, 42.86 %
76177, 388.89 %
76179, 92.04 %
76180, 60.45 %
76182, 94.03 %
76201, 63.93 %
76205, 36.99 %
76207, 157.14 %
76208, 115.14 %
76209, 66.67 %
76210, 68.16 %
76225, 17.65 %
76226, 119.84 %
76227, 179.28 %
76228, NaN
76230, -10.00 %
76233, Infinity
76234, 48.01 %
76238, NaN
76239, -100.00 %
76240, 76.77 %
76244, 136.76 %
76245, Infinity
76247, 147.62 %
76248, 71.97 %
76249, 92.98 %
76250, Infinity
76251, NaN
76252, 3.90 %
76255, 5.26 %
76258, 103.88 %
76259, 90.48 %
76262, 116.86 %
76264, NaN
76265, Infinity
76266, 71.88 %
76270, 100.00 %
76271, Infinity
76272, 112.77 %
76273, 100.00 %
76301, -2.78 %
76302, 42.86 %
76305, 53.85 %
76306, NaN
76308, 12.41 %
76309, 15.85 %
76310, 67.66 %
76311, NaN
76351, 0.00 %
76354, 40.00 %
76357, NaN
76360, -4.76 %
76363, NaN
76365, 90.48 %
76366, 60.00 %
76367, 6.38 %
76371, NaN
76372, NaN
76374, -28.57 %
76377, NaN
76379, NaN
76380, 25.00 %
76384, -21.35 %
76389, NaN
76401, 66.67 %
76424, -13.58 %
76426, 10.00 %
76427, NaN
76430, 27.66 %
76431, 25.00 %
76432, NaN
76433, Infinity
76435, NaN
76436, NaN
76437, 127.27 %
76442, 76.47 %
76443, NaN
76444, Infinity
76445, NaN
76446, 138.10 %
76448, 15.38 %
76449, 87.50 %
76450, 10.09 %
76453, 36.36 %
76454, NaN
76455, NaN
76457, 42.86 %
76458, 16.67 %
76460, NaN
76462, 80.00 %
76463, NaN
76464, NaN
76470, NaN
76471, NaN
76472, Infinity
76474, NaN
76475, Infinity
76476, Infinity
76483, NaN
76484, NaN
76486, NaN
76487, Infinity
76491, NaN
76501, 53.85 %
76502, 43.90 %
76504, 12.68 %
76511, NaN
76513, 80.26 %
76518, NaN
76519, NaN
76520, 130.77 %
76522, 28.21 %
76524, Infinity
76525, NaN
76527, 150.00 %
76528, 55.84 %
76530, Infinity
76531, 79.49 %
76534, 60.00 %
76537, 141.38 %
76538, NaN
76539, 21.95 %
76541, Infinity
76542, 31.31 %
76543, 25.00 %
76544, NaN
76548, 20.93 %
76549, 58.73 %
76550, 50.00 %
76554, NaN
76556, NaN
76557, 36.36 %
76559, 62.16 %
76561, NaN
76566, NaN
76567, 83.67 %
76569, Infinity
76570, NaN
76571, 68.32 %
76574, 97.37 %
76577, Infinity
76578, Infinity
76579, 60.00 %
76621, Infinity
76622, NaN
76624, NaN
76626, NaN
76627, NaN
76629, NaN
76630, NaN
76631, NaN
76632, NaN
76633, 109.88 %
76634, 40.63 %
76635, NaN
76636, Infinity
76637, NaN
76638, 78.08 %
76639, NaN
76640, NaN
76641, NaN
76642, 48.94 %
76643, 80.72 %
76645, 51.52 %
76648, NaN
76649, NaN
76651, NaN
76652, NaN
76653, NaN
76655, 97.92 %
76656, NaN
76657, 65.99 %
76660, NaN
76661, NaN
76664, NaN
76665, Infinity
76666, NaN
76667, 13.64 %
76670, NaN
76671, NaN
76673, NaN
76676, NaN
76679, NaN
76681, NaN
76682, NaN
76687, NaN
76689, 108.33 %
76690, NaN
76691, 133.33 %
76692, 89.66 %
76693, NaN
76701, Infinity
76704, NaN
76705, 60.00 %
76706, 97.67 %
76707, Infinity
76708, 100.00 %
76710, 49.56 %
76711, NaN
76712, 73.39 %
76801, 48.44 %
76802, 53.85 %
76821, 90.48 %
76823, NaN
76825, 4.17 %
76827, NaN
76832, NaN
76834, 17.65 %
76837, NaN
76844, 73.91 %
76849, 21.21 %
76852, NaN
76853, Infinity
76854, NaN
76856, 84.21 %
76857, NaN
76858, NaN
76859, NaN
76861, Infinity
76864, NaN
76866, NaN
76871, NaN
76872, NaN
76875, NaN
76877, 73.91 %
76878, NaN
76882, NaN
76890, NaN
76901, 47.62 %
76903, 18.42 %
76904, 39.58 %
76905, 59.09 %
76932, 2.04 %
76933, NaN
76934, NaN
76935, 38.89 %
76936, -20.00 %
76937, NaN
76941, 100.00 %
76943, -21.05 %
76945, NaN
76950, -25.37 %
76951, 17.65 %
76957, Infinity
77002, 51.06 %
77003, 233.33 %
77004, 79.90 %
77005, 33.21 %
77006, 86.20 %
77007, 88.47 %
77008, 121.71 %
77009, 164.49 %
77010, 12.24 %
77011, NaN
77012, NaN
77013, Infinity
77014, 45.45 %
77015, 28.79 %
77016, NaN
77017, 62.16 %
77018, 163.76 %
77019, 58.59 %
77020, 125.81 %
77021, 90.48 %
77022, Infinity
77023, 117.39 %
77024, 37.85 %
77025, 46.05 %
77026, Infinity
77027, 67.49 %
77028, NaN
77029, Infinity
77030, 41.19 %
77031, 42.86 %
77032, 555.17 %
77033, NaN
77034, 56.25 %
77035, 94.44 %
77036, 37.72 %
77037, Infinity
77038, Infinity
77039, 50.00 %
77040, 24.42 %
77041, 10.28 %
77042, 14.47 %
77043, 200.53 %
77044, 113.38 %
77045, Infinity
77046, 60.00 %
77047, 175.86 %
77048, Infinity
77049, 80.33 %
77050, NaN
77051, NaN
77053, NaN
77054, 17.24 %
77055, 103.81 %
77056, 41.38 %
77057, 34.11 %
77058, 32.72 %
77059, 34.45 %
77060, -44.44 %
77061, 88.68 %
77062, 25.31 %
77063, 44.68 %
77064, 25.00 %
77065, 24.38 %
77066, 0.50 %
77067, -21.57 %
77068, 6.06 %
77069, 3.66 %
77070, 26.79 %
77071, 60.92 %
77072, 38.46 %
77073, 20.00 %
77074, 39.13 %
77075, 135.29 %
77076, Infinity
77077, 38.93 %
77078, NaN
77079, 34.97 %
77080, 124.67 %
77081, 41.46 %
77082, 30.49 %
77083, 43.68 %
77084, 27.22 %
77085, NaN
77086, -20.00 %
77087, Infinity
77088, 42.86 %
77089, 98.20 %
77090, -14.47 %
77091, 87.50 %
77092, 98.63 %
77093, Infinity
77094, 10.43 %
77095, 7.62 %
77096, 45.44 %
77098, 49.69 %
77099, 6.67 %
77301, 115.38 %
77302, 26.67 %
77303, 145.28 %
77304, 88.10 %
77306, 127.27 %
77316, 265.22 %
77318, 80.77 %
77320, 86.05 %
77327, 124.14 %
77328, 167.86 %
77331, 86.44 %
77335, NaN
77336, 119.92 %
77338, 77.22 %
77339, 41.23 %
77340, 46.34 %
77345, 19.27 %
77346, 57.13 %
77351, 51.52 %
77354, 82.10 %
77355, 62.28 %
77356, 52.74 %
77357, 88.81 %
77358, 150.00 %
77359, NaN
77360, 100.00 %
77362, 178.48 %
77363, Infinity
77364, Infinity
77365, 149.24 %
77371, Infinity
77372, 233.33 %
77373, 19.40 %
77375, 250.21 %
77377, 65.51 %
77378, 95.12 %
77379, 25.45 %
77380, 43.50 %
77381, 18.26 %
77382, 25.95 %
77384, 132.25 %
77385, 107.79 %
77386, 143.58 %
77388, 39.48 %
77389, 123.07 %
77396, 72.47 %
77401, 33.21 %
77406, 74.02 %
77407, 289.97 %
77414, 74.50 %
77417, NaN
77418, 37.76 %
77420, Infinity
77422, 146.75 %
77423, 218.18 %
77426, 75.44 %
77429, 34.24 %
77430, 114.29 %
77433, 144.04 %
77434, -100.00 %
77435, 96.08 %
77437, 46.50 %
77441, 205.56 %
77442, NaN
77444, NaN
77445, 66.67 %
77447, 103.30 %
77449, 24.65 %
77450, 12.73 %
77455, Infinity
77459, 66.28 %
77461, 150.00 %
77465, 118.75 %
77468, NaN
77469, 103.39 %
77471, 72.93 %
77474, 74.50 %
77477, 30.00 %
77478, 34.33 %
77479, 60.66 %
77480, 83.33 %
77482, Infinity
77484, 96.72 %
77485, Infinity
77486, 66.67 %
77488, 62.50 %
77489, 42.86 %
77493, 159.95 %
77494, 78.31 %
