75001, 9030, 1220, 560
75002, 29990, 6500, 2720
75006, 23940, 2330, 530
75007, 26050, 4500, 1160
75009, 5940, 1610, 710
75010, 13940, 2580, 1000
75013, 18100, 4730, 3780
75019, 19960, 4840, 3490
75020, 9710, 810, 200
75021, 3780, 320, 70
75022, 10730, 2900, 2730
75023, 22420, 4240, 1130
75024, 19670, 4540, 2870
75025, 23560, 5960, 3000
75028, 20610, 5780, 2560
75032, 14170, 2950, 1910
75034, 30830, 7100, 5520
75035, 28350, 8690, 3970
75038, 15100, 1210, 640
75039, 10910, 2140, 1090
75040, 28720, 2080, 220
75041, 13460, 580, 80
75042, 17180, 580, 60
75043, 28400, 2510, 410
75044, 20600, 2590, 980
75048, 11490, 2710, 650
75050, 19110, 1120, 200
75051, 16820, 450, 40
75052, 42780, 4810, 580
75054, 5970, 1920, 480
75056, 30080, 5350, 2470
75057, 6940, 350, 70
75058, 1450, 320, 110
75060, 21180, 1140, 130
75061, 23590, 1130, 190
75062, 22700, 1510, 470
75063, 18770, 4340, 1930
75065, 5740, 940, 230
75067, 32910, 3250, 480
75068, 23850, 5230, 880
75069, 16830, 2040, 1180
75070, 44100, 11560, 4370
75071, 22560, 5600, 1940
75074, 22820, 2910, 770
75075, 17200, 3450, 960
75076, 3610, 500, 160
75077, 17630, 4170, 1870
75078, 10160, 2950, 2430
75080, 20440, 3620, 1440
75081, 17750, 2590, 490
75082, 10840, 2590, 1440
75087, 16110, 4350, 1320
75088, 11860, 2190, 520
75089, 14810, 3010, 580
75090, 9630, 530, 110
75092, 11040, 1170, 370
75093, 23050, 4380, 4700
75094, 9560, 2740, 1370
75098, 25380, 5060, 920
75102, 540, 60, 0
75103, 5700, 670, 170
75104, 22730, 2390, 600
75105, 120, 0, 0
75109, 1730, 250, 70
75110, 11410, 660, 160
75114, 2490, 380, 50
75115, 25880, 2500, 420
75116, 8950, 500, 60
75117, 1660, 170, 30
75119, 11360, 920, 180
75124, 1900, 190, 30
75125, 3010, 150, 20
75126, 20780, 4100, 640
75127, 650, 50, 0
75134, 9640, 320, 0
75135, 3060, 500, 60
75137, 9450, 910, 160
75140, 2800, 230, 30
75141, 1610, 50, 0
75142, 8690, 870, 160
75143, 5820, 480, 120
75144, 1310, 130, 20
75146, 10470, 550, 60
75147, 3120, 290, 50
75148, 2360, 200, 60
75149, 25500, 1320, 150
75150, 28130, 1500, 130
75152, 2180, 220, 50
75153, 280, 0, 0
75154, 19060, 2410, 440
75155, 1100, 60, 0
75156, 5660, 450, 150
75158, 1980, 280, 40
75159, 7840, 510, 80
75160, 11080, 1000, 250
75161, 2870, 270, 60
75163, 940, 110, 30
75165, 19180, 2410, 490
75166, 2150, 490, 70
75167, 4420, 990, 190
75169, 6300, 560, 100
75172, 1890, 20, 0
75173, 2680, 410, 50
75180, 10060, 280, 0
75181, 12270, 1510, 140
75182, 2880, 790, 470
75189, 12630, 2290, 350
75201, 9330, 1550, 1290
75202, 1660, 290, 150
75203, 6030, 140, 30
75204, 17910, 2750, 1350
75205, 9620, 1490, 3430
75206, 20170, 2760, 1870
